# id	cmn	eng — from Tatoeba (CC-BY 2.0 FR)
336651	我父母去机场送我叔叔了。	My parents have gone to the airport to see my uncle off.
336653	我们通常步行去学校。	We usually walk to school.
336654	他不早起。	He does not get up early.
336660	为了感谢您，这里有份礼物。	To thank you, here is a gift.
336661	她对自己的才能很自豪。	She is very proud of her talent.
336663	我不知道他什么时候会来。	I don't know when he will come.
336665	我喜欢打网球和高尔夫球。	I like playing tennis and golf.
336666	读这本书很容易。	It is easy to read this book.
336667	这顶帽子对我来说太小了。	The cap is too small for me.
336668	这本书他们读起来够简单了。	This book is easy enough for them to read.
336669	请填写这份表格。	Please fill out this form.
336670	我们毫不费力地想出了密码。	We easily figured out the password.
336672	你有照相机吗？	Do you have a camera?
336675	祝你一天过得愉快。	Have a nice day.
336677	这幅画远看更好。	The picture looks better at a distance.
336678	你必需马上去那儿。	It is necessary for you to go there immediately.
336679	开业庆典酬宾。	Grand opening sale.
336680	这可能是真的，可能不是。	It may or may not be true.
336682	去年冬天下了好多雪。	There was a lot of snow last winter.
336684	这些数字总数不符。	These figures don't add up.
336685	当然。祝你好运！	Sure. Good luck!
336688	我想买些靴子。	I would like to purchase some boots.
336689	哪顶帽子是你的？	Which cap is yours?
336690	天看起来要下雨了。	It looks as if it is going to rain.
336691	我不想有任何误会。	I don't want there to be any misunderstanding.
336692	进家门后，我被垫子绊倒了。	Entering the house, I tripped over the mat.
336693	和你在一起，我很高兴。	I am quite pleased with you.
336694	整个小区对这个消息很惊讶。	The whole neighborhood was surprised at the news.
336695	那是一支铅笔。	That is a pencil.
336696	有些人只追求快乐。	Some people pursue only pleasure.
336699	我的字典里没有这个词。	The word is not in my dictionary.
336700	我希望没打扰到你吧？	I hope I'm not disturbing you.
336703	你为什么来了日本？	Why did you come to Japan?
336708	我们走，尽可能多看点东西。	Let's go and see as many things as we can.
336710	英语成为了一门国际语言。	English has become an international language.
336711	我们很高兴接受你的提议。	We gladly accept your offer.
336712	往返还是单程？	Round trip or one-way?
336718	你该上床了。把收音机关了。	It is time you went to bed. Turn off the radio.
336719	你觉得怎么样？	What do you think of it?
336720	这把刀的刀锋很利。	The knife has a keen blade.
336722	恶魔摧毁了广岛和长崎。	The devil destroyed Hiroshima and Nagasaki.
336725	谢谢那天晚上请我吃了饭。	Thanks very much for having me to dinner the other night.
336728	我说服他放弃了这个主意。	I talked him out of the idea.
336851	他没有早起。	He did not get up early.
336852	这种杂志对年轻人有害。	This kind of magazine can do harm to young people.
336854	你认为你会到哪儿度假？	Where do you suppose you'll spend your vacation?
336857	放下所有武器。	Lay down all arms.
336858	没多久，我们又碰巧遇到了。	It was not long before we met again by chance.
336859	快点，不然你就要错过火车了。	Hurry up, or you will miss the train.
336862	那个溺水的男人抓紧了绳子。	The drowning man grasped at the rope.
336863	塑料代替了许多传统的原料。	Plastics have taken the place of many conventional materials.
336864	假期里，我度过了悠闲的日子。	I spent idle days during the vacation.
336865	小镇充满了活力。	The town was full of activity.
336866	这药对你有好处。	This medicine will do you good.
336868	给我们工具，我们会完成工作。	Give us the tools, and we'll finish the job.
336869	在这种情况下，他们该做什么？	What should they do in this situation?
336870	你最好照着医生的建议做。	You had better do as the doctor advised you.
336871	你愿意和我跳舞吗？	Would you like to dance with me?
336872	你表上是几点？	What time is it by your watch?
336877	做任何事，你必须要做到最好。	In doing anything, you must do your best.
336883	我能预定一下打高尔夫球吗？	Can I make a reservation for golf?
336884	小山后面有个美丽的山谷。	A beautiful valley lies behind the hill.
336885	天空风云骤起。	The sky looks angry.
336886	两队打了场硬仗。	The two teams fought very hard.
336887	空中有一大片乌云。	There is a mass of dark clouds in the sky.
336888	宝宝还不会使用勺子。	The baby cannot use a spoon yet.
336892	我相信你很快就能复原。	I believe you'll get over it soon.
336900	不要说话，好不好？	Quit talking, will you?
336903	她进了她的房间换裙子。	She went into her room to change her dress.
336908	你的行为离要求的太远了。	Your behavior leaves much to be desired.
336910	她流泪看着信。	She wept reading the letter.
336917	我们吃是为了活着。	We eat so we can live.
336920	他工作很努力。	He worked very hard.
336921	这是一本书。	This is a book.
336926	公开表示你对某人的爱。	Publicly express your love for someone.
336927	你最喜欢什么水果？	What fruit do you like the best?
336936	船和火车哪个跑得快？	Which goes faster, a ship or a train?
336937	你的言行必须一致。	Your words must correspond with your actions.
336938	我不相信孩子能独自到东京。	I don't believe the child came to Tokyo alone.
336940	直子住在这个白色的房子里。	Naoko lives in this white house.
336942	火车是开往伦敦的。	The train is bound for London.
336943	事故发生在前天。	The accident happened the day before yesterday.
336951	他在口袋里摸着找他的钱包。	He felt in his pocket for his wallet.
336953	大雨使河水泛滥。	The rivers were flooded by the heavy rain.
336955	这条鱼没有毒。	This fish is free from poison.
336956	她几乎不说英语。	She spoke scarcely a word of English.
336957	这些书架上没有很多书。	There are not many books on these shelves.
336958	云开见天日。	The clouds opened and the sun shone through.
336959	我爸爸告诉我去哪儿。	My father told me where to go.
336961	他来不来对我来说没区别。	It makes no difference to me whether he comes or not.
336964	他笑了。	He laughed.
336965	他怎么在这样的贫困中谋生？	How did he make his living in such poverty?
336970	现今人们没有空调无法生活。	Without an air conditioner, people nowadays cannot live.
336972	车站前有个银行。	There is a bank in front of the station.
336973	这个女孩没有母亲。	The girl has no mother.
336974	这是我们多雨的季节。	It is our rainy season.
336975	他今晚会来我家。	He is to come to my house tonight.
336977	不要虐待动物。	Don't be cruel to animals.
337219	她用繩子把包裹緊緊綁好了。	She tied up the parcel with string.
337223	我建議她去乘早車。	I advised her to catch a morning train.
337224	下午一起去游泳吧。	Let's have a swim in the afternoon.
337228	他去了某個地方。	He went to some place or other.
337232	她和其他人一樣用功。	She works as hard as anybody does.
337234	我們有兩個女兒。	We have two daughters.
337237	嚴格地說你錯了。	Strictly speaking, you are wrong.
337238	暴風雨帶來了許多損害。	The storm brought about much damage.
337246	誠實是他成功最重要的因素。	Honesty was the most important factor in his success.
337247	他很快就下定了決心。	He made up his mind quickly.
337249	他們喝了兩瓶酒。	They drank two bottles of wine.
337250	還剩下多少塊三明治？	How many sandwiches are there left?
337258	我曾經爬過富士山。	I have climbed Mt. Fuji.
337259	我應該去看醫生嗎？	Shall I go for the doctor?
337260	我專攻經濟學。	I major in economics.
337275	這部電影值得一看。	This movie is worth seeing.
337276	誰也沒有出席派對。	Nobody came to the party.
337280	你的英語已有所改善。	You've improved your English.
337281	艾力士有多少輛車？	How many cars does Alex have?
337285	他們無家可歸。	They have no house to live in.
337287	他在手上貼了一塊膠布。	He put a Band-Aid on his hand.
337288	他們終於到達了山頂。	At last, they reached the top of the mountain.
337290	請打開窗。	Open the window.
337294	我們始終都有死的一天。	We shall all die some day.
337298	這本教科書對我來說太深了。	This textbook is too hard for me.
337299	在雲的遮蔽下無法見到月亮。	The moon is invisible behind the clouds.
337300	我見到一片白雲在空中飄過。	I saw a white cloud sailing across the sky.
337302	她下定決心要擁有自己的店。	She is firmly determined to own a store of her own.
337304	我不想繼續等了。	I don't feel like waiting any longer.
337305	很多家園被洪水沖走了。	Many homes were washed away by the flood.
337306	希望她早日康復。	I hope that she will get well soon.
337309	我們家中有兩台電視。	In our house there are two televisions.
337310	我不可能繼續保持沈默了。	I can no longer remain silent.
337312	他接管了父親的生意。	He took over his father's business.
337313	我們通常在這房間睡。	We usually sleep in this room.
337319	我今天感覺好了點。	I feel better today.
337320	比賽因為下雨取消了。	The game was called off on account of the rain.
337322	這絕對是最好的方法。	This is by far the best method.
337323	他在那裏站了一會。	He stood there for a while.
337327	我答應了弟弟教他做功課。	I promised to help my brother with his homework.
337329	他差不多有六呎高。	He is almost six feet tall.
337331	請你出門的時候把門鎖上。	Please lock the door when you leave.
337332	起初誰也不相信我。	No one believed me at first.
337335	他受傷的腳又開始流血了。	His wounded leg began to bleed again.
337336	建這條橋花了不少錢。	A large amount of money was spent on the bridge.
337337	他母親是美國人。	His mother is American.
337361	他的病使她非常傷心。	His illness caused her great misery.
337362	你的保險公司叫甚麼名字？	What's the name of your insurance company?
337403	這個引擎耗用最多的油。	This engine consumes the most oil.
337472	你來不來我的派對啊？	Would you like to come to my party?
337720	别忘了我们！	Don't forget about us!
337874	一会儿见！	See you soon!
337876	您为什么惩罚他们？	What are you punishing them for?
337881	他还没回我的信。	He hasn't answered my letter yet.
337890	車頭的擋風玻璃被砸至粉碎。	The front windshield of a car was smashed to pieces.
337898	請告訴我巴士站在哪裏。	Please tell me where the bus stop is.
337972	你在说我吗？	Are you referring to me?
337981	代我问候你妈妈。	Say hello to your mum for me.
338023	他很高兴。	He is happy.
338384	今晚正在下倾盆大雨。	It's raining cats and dogs tonight.
338395	好问题。	Good question!
338405	千里之行，始于足下。	A journey of a thousand miles starts with a single step.
338413	我要个会说法语的人。	I want a person who can speak French.
338415	喝杯紅茶嗎？	How about a cup of tea?
338416	父親不喝烈酒。	My father drinks no spirits.
338417	她拒絕了他的邀請。	She turned down his invitation.
338631	我們是老朋友。	We're friends from way back.
338632	必須為最壞的情況作好準備。	It is necessary to prepare for the worst.
338639	這是通往大海的通道。	This is the passage to the sea.
338646	我去飞机场为他送行了。	I have been to the airport to see him off.
338736	那是現實。	That's the way it is.
338737	我有一隻黑白斑點狗。	I have a black and white speckled dog.
338738	我是一名銀行職員。	I'm a bank clerk.
338739	我恐怕不能幫你了。	I am afraid I can't help you.
338756	你想留個訊息給他嗎？	Would you like to leave a message for him?
338757	不要邊吃東西邊看書。	Don't eat while reading.
338784	我的头疼。	I have a headache.
338795	我每天早上都去买东西。	I go shopping every morning.
338799	这个多少？	How much is it?
338803	你最好現在去睡覺。	You had better go to bed now.
338806	你最好馬上去做。	You had better do it at once.
338810	我不是故意的。	I didn't do it on purpose.
338827	大家好。	Hello everyone.
338828	代我问候你妹妹。	Say hello to your sister for me.
338929	我今晚不想喝酒。	I don't feel like drinking tonight.
338939	地球上有很多國家和文化。	There are many countries and many cultures on Earth.
338948	我勸了他戒煙。	I advised him to give up smoking.
338949	我本金和利息都沒了。	I have lost both principal and interest.
338956	青年人總愛挑戰極端。	Young people are apt to go to extremes.
338958	我造了一張木桌子。	I made a desk of wood.
338964	這張照片是最近拍的嗎？	This a recent photo?
338968	他把信交給了秘書。	He handed the letter to the secretary.
338971	世界所有人都渴望和平。	All the world desires peace.
338972	他想把這些襯衫洗乾淨。	He wants these shirts washed.
338973	我很掛念你。	I miss you very much.
338985	你要改善一下你的英語。	You have to polish your English.
338986	你不應在這裏吸煙。	You are not supposed to smoke here.
338991	你幾年級？	What grade are you in?
338993	這想法不錯。	That's a pretty good idea.
338997	無論何時都要扣好安全帶。	Fasten your seat belt at all times.
338998	他終於醒覺到自己做錯了。	At last, he realized his error.
339046	快来吧！	Come quick!
339175	他把全副心神放在學業上。	He applied himself to his study.
339208	很高興能再見到你。	Glad to see you again.
339212	我們登得愈高，空氣就愈稀薄。	The higher we go up, the thinner the air becomes.
339215	雨連續下了五天。	The rain lasted five days.
339219	新鮮水果對身體好。	Fresh fruit is good for your health.
339220	我昨天來到這裏。	I came here yesterday.
339223	今晚可以看到滿月。	A full moon can be seen tonight.
339226	她看起來很孤單。	She looked lonely.
339227	不收小費。	No gratuity accepted.
339230	她整晚不停地哭。	She cried all night.
339231	我父親正在嘗試戒酒。	My father tries to abstain from drinking.
339232	他哥哥是個有名的足球員。	His brother is a famous soccer player.
339233	好好把握這個機會。	Make good use of this opportunity.
339235	我甚麼都沒見到。	I saw nothing.
339236	一路順風！	Bon voyage!
339240	不要說廢話！	Don't talk nonsense!
339241	不要和我說話！	Don't talk to me!
339242	別作聲！	Don't talk!
339243	不要說無禮的話！	Don't talk so impudently.
339244	別談這種事。	Don't talk about such a thing.
339245	不要大聲說話！	Don't talk so loud.
339246	不要在課室內談話。	Don't you talk in the classroom.
339248	別這樣說話。	Don't talk like that.
339249	他把蒼蠅拍走了。	He flapped the flies away.
339251	她昨天出發去了京都。	She started for Kyoto yesterday.
339252	她拿了她的書。	She took her book.
339253	他說英文時總要出一點的錯。	He never speaks English without making a few mistakes.
339254	這是多古老的書本呀！	What an old book this is!
339255	全校學生都贊成了這個建議。	The whole school agreed to the proposal.
339256	他有一個有力的不在場證據。	He had a strong alibi.
339257	父親不在家。	Dad isn't home.
339259	我希望能再見到你。	I hope to see you again.
339273	漁人得利。	Someone else profits from the situation.
339275	真相很快就會水落石出了。	It won't be long before we know the truth.
339277	這個嬰兒還沒有學會走路。	The baby is not capable of walking yet.
339278	你成功完成任務了嗎？	Did you accomplish the task?
339281	我買貴的東西時總是賒帳。	I always buy expensive items on credit.
339282	我和他都不相信。	I, as well as he, am not convinced.
339284	我很擔心他的健康。	I am anxious about his health.
339285	我在大阪出生，但在東京長大。	I was born in Osaka, but I grew up in Tokyo.
339288	她住在倫敦。	She is living in London.
339289	你的靈魂已墜進了地獄。	Your soul has been condemned to hell.
339290	早點回來吧。	Come back soon.
339292	海盗把財寶藏進了地底。	The pirates buried their treasure in the ground.
339300	這靴是用皮革做的。	These boots are made of leather.
339311	漢字很難讀。	Kanji are difficult to read.
339317	這個問題看起來很難。	This problem seems difficult.
339318	讓我介紹我父母給你認識。	Let me introduce my parents to you.
339427	我还是写不好汉语。	I still don't write Chinese well.
339433	喝點咖啡嗎？	Will you have some coffee?
339435	請在這個櫃位付款。	Please pay at this counter.
339436	我不知道該怎樣做。	I don't know what to do.
339437	我不知道這輛摩托車多少錢。	I don't know how much this motorcycle is.
339438	我們必須放棄這個計劃。	We have to abandon the plan.
339448	她一個敵人也沒有。	She doesn't have any enemies.
339450	你相信他嗎？	Do you believe him?
339459	我無法容忍她的行為。	I cannot put up with her behavior.
339461	我們實行了那個計劃。	We carried out that plan.
339463	這種事我一點也不怕。	I'm not in the least afraid of it.
339464	我步行上學。	I go to school on foot.
339465	你不能漠視你的責任。	You are not to neglect your duty.
339466	要即時撲滅那火災並不容易。	It was not easy to put out the fire at once.
339467	保守秘密。	Keep the secret.
339468	如果你想成功，必先付出努力。	You have to make efforts if you are to succeed.
339469	母親以前很喜歡打網球。	My mother used to be into tennis.
339472	一起跳舞吧，好嗎？	Let's dance, shall we?
339474	我不得不向她道歉。	I must make an apology to her.
339478	生命是美麗的。	Life is beautiful.
339479	沒有音樂就沒有生命。	No music, no life.
339480	人生十分短暫。	Life is very short.
339481	鄉村生活比都市生活健康。	Country life is healthier than city life.
339482	人生真是奇妙！	How strange life is!
339483	這就是生命。	This is the life.
339484	這是我的人生嗎？	Is this my life?
339485	這就是人生！	This is life!
339487	我買了人壽保險。	I have life insurance.
339488	人生是美好的。	Life is beautiful.
339489	空氣是生命中不可或缺的。	Air is indispensable to life.
339491	他把包放在桌上。	He laid his bag on the table.
339494	沒有堅持，就沒有成功。	There's no success without perseverance.
339495	我和他從小就是好朋友了。	He and I have been good friends since we were children.
339496	你能舉起這塊石頭嗎？	Can you lift this stone?
339497	他能跑多快？	How fast can he run?
339498	他發現自己錯了。	He saw that he was wrong.
339499	他把賺到的錢都存了起來。	He saves what he earns.
339500	自己試試看吧。	Try it out yourself.
339501	他連再見也不說就走了。	He departed without so much as saying good bye.
339502	他一直等到她來了為止。	He waited until she came.
339503	她裝病。	She made believe that she was sick.
339505	野兔被烏龜拋了在後頭。	The hare was outdistanced by the tortoise.
339506	火星上有生物嗎？	Is there any life on Mars?
339510	聽說你兒子參與了學生運動。	Your son took part in the student movement, I hear.
339602	我們用口進食。	We eat with our mouths.
339603	看來她會改變主意。	It appears that she might change her mind.
339720	入乡随俗。	Do in Rome as the Romans do.
339747	他从没见过那么坏的男孩。	He had never seen such a bad boy.
339859	誰也沒有注意到她。	Nobody was paying attention to her.
339862	誰都知道他現在還在人世。	Everybody knows for a fact that he is still alive.
339866	預告說明天多雲。	They forecast it will be cloudy tomorrow.
339869	請在六時半叫醒我。	Wake me at 6.30, please.
339872	他在劇中演了一個小角色。	He played a minor part in the play.
339880	總統目前在邁阿密。	The president is presently in Miami.
339885	我現在很忙，沒空和你玩。	I am busy now and can't play with you.
339889	請稍等五分鐘。	Please wait for five minutes.
339900	他不會打倒我的。	He won't beat me.
339903	他的文章寫得完美無瑕。	His composition leaves nothing to be desired.
339912	我想你幫我做一件事。	I have a favor to ask of you.
339913	他去了奧地利讀音樂。	He went to Austria for the purpose of studying music.
339916	百合的香氣充滿了整個房間。	A smell of lilies filled the room.
339929	你行為應該規矩些。	You should try to behave better.
339932	計劃的總開支為一億円。	The total expense for the project amounts to one hundred million yen.
339938	我很高興能和他們會面。	I am very pleased to meet them.
339975	不好意思……	I'm sorry.
340075	我以前讀過這本書。	I have read the book before.
340076	他幾乎從來沒揭開過一本書。	He hardly ever opens a book.
340079	醫生勸我戒煙。	The doctor advised me to stop smoking.
340083	她雙手冰冷。	Her hands were as cold as ice.
340086	我們每天洗澡。	We take a bath every day.
340087	他言之無物。	There is no substance in his speech.
340088	她要和男友分手了。	She is going to part from her boyfriend.
340090	我造了一架模型飛機。	I made a model plane.
340091	總統出國通常有妻子陪伴。	The President is usually accompanied by his wife when he goes abroad.
340092	這老婦是誰？	Who is that old woman?
340093	這個蘋果很酸。	This apple tastes sour.
340096	不要這麼吹毛求疵。	You don't have to go getting so hairy about such a small thing.
340098	用雙手拿著它。	Hold it with both hands.
340099	你不累嗎？	Are you not tired?
340100	園藝在這幾年很流行。	Gardening has been popular for some years.
340104	她是個很難搞的人。	She is a difficult person to deal with.
340107	他怕犯錯。	He is afraid of making mistakes.
340108	我不愛她。	I don't love her.
340110	愛是盲目的。	Love is blind.
340111	愛和和平。	Love and Peace.
340112	大家都喜歡音樂嗎？	Does everybody love music?
340113	貓大多數都討厭狗。	Cats usually hate dogs.
340114	大多數的作家都討厭被批評。	Most writers hate being criticized.
340115	去死吧！	Fuck you!
340116	我不喜歡春天。	I do not like spring.
340119	他嘗試逃走而成功了。	His attempt to escape was successful.
340120	聾啞的人用手語說話。	Deaf-mute people talk using sign language.
340121	他們在儲錢買房子。	They are saving their money for the purchase of a house.
340122	你怎麼這麼匆匆忙忙的？	Why are you in such a hurry?
340123	他一定會成功。	He will definitely succeed.
340124	我不得不放棄我的計劃。	I had to give up my plan.
340129	所有人都在等你。	Everybody is waiting for you.
340130	這意外是何時發生的？	When did the accident take place?
340133	小車比大車經濟。	A small car is more economical than a large one.
340134	許個願，然後吹熄蠟燭吧。	Make a wish and blow out the candles.
340136	駐軍被迫投降。	The garrison was forced to surrender.
340137	桌上有個破杯子。	There was a broken cup on the table.
340144	这本书很小。	This book is very small.
340145	她的魅力難以用筆墨形容。	Her charm is beyond description.
340146	在他的裁判下，真相終於大白。	The truth finally came out at his trial.
340148	鋼琴走調了，音色很難聽。	The piano was out of tune; it sounded very bad.
340149	他對棒球沒甚麼興趣。	He doesn't care much for baseball.
340150	但是，我沒有錢。	However, I have no money.
340151	請到前面來。	Move up to the front, please.
340154	總有一天你會明白的。	You will understand it as time passes.
340157	我感謝你。	I thank you.
340158	你會守承諾的，對吧？	You will keep your word, won't you?
340161	我們必須總體地研究這事件。	We must study the affair as a whole.
340163	請拿多點鉛筆來。	Please get a lot of pencils.
340164	他怒火中燒。	He is burning with anger.
340165	不要接近我。	Keep away from me.
340166	小事聰明，大事糊塗。	Penny wise, pound foolish.
340167	不要害怕發問。	Don't be afraid to ask questions.
340168	你在做甚麼？	What are you on about?
340169	不少學生逃學了。	Quite a few students played truant from school.
340172	你會駕車嗎？	Can you drive a car?
340256	抽煙請到外面抽。	If you are going to smoke, please go outside.
340315	我很喜欢跳舞。	I love to dance.
340435	我不明白。	I don't get it.
340476	你会说法语吗？	Can you speak French?
340477	谁教你法语？	Who teaches you French?
340479	我爱法国的电影。	I love French films.
340480	我看不懂法语。	I cannot read French.
340481	他的妻子是法国人	His wife is French.
340482	他会说法语。	He speaks French.
340483	你喜欢喝法国的葡萄酒吗？	Do you like French wines?
340484	他会说法语吗？	Can he speak French?
340485	她会说法语。	She can speak French.
340486	她会说法语吗？	Does she speak French?
340487	她的母语是法语。	French is her mother tongue.
340488	他们的母语是法语。	French is their mother tongue.
340489	你是美国人还是法国人？	Are you American or French?
340490	我不会说法语。	I can't speak French.
340491	我想学习法语。	I want to learn French.
340492	他会说英语和法语。	He speaks English and French.
340493	她的专业是法国的文学	She majors in French literature.
340494	我想吃法国菜。	I want to eat French cuisine.
340495	我不经常说法语。	I don't speak French very much.
340496	好奇会吃苦头的。	Curiosity killed the cat.
340497	猫是很可爱的。	Cats are very cute.
340498	猫有九命。	A cat has nine lives.
340499	床下有一只猫。	There is a cat under the bed.
340500	那不是老虎。	That is not a tiger.
340501	哪只狗是你的？	Which dog is yours?
340502	这是我的狗。	This is my dog.
340637	她所说的话是不真实的。	What she said wasn't true.
340638	快把我逼疯了	It's driving me crazy.
340639	我在年轻的时候抽烟。	I did smoke when I was young.
340640	昨天晚上下大雪了。	It snowed a good deal last night.
340641	如果事情值得做就值得做好。	If it is worth doing, do it well.
340642	请把你的行李放在这秤上。	Please put your baggage on this scale.
340643	这牛奶有特殊的气味。	This milk has a peculiar smell.
340644	我在三点有个约会。	I have an appointment at 3.
340645	你想和我结婚吗？	Will you marry me?
340646	欢迎再来。	Do come again.
340647	下个星期见！	See you next week!
340648	你最喜欢什么电视剧？	Which drama series do you like best?
340649	读这种的书有什么用？	What is the good of reading such books?
340652	地球比太阳小。	The earth is smaller than the sun.
340699	你的狗咬人吗？	Does your dog bite?
341839	踢球是我的最喜欢的运动。	Football is my favorite game.
341841	我们成了整个村庄的笑柄。	We've become a mockery to the whole village.
341925	谁想来你就带谁来。	You may bring whoever wants to come.
341936	马上过来见我。	Come and see me right now.
342074	你会说英语吗？	Can you speak English?
342111	天空是蓝色的。	The sky is blue.
342196	別忘了明天六時來接我。	Don't forget to pick me up at 6 o'clock tomorrow.
342197	希望她會早日痊癒。	I hope that she'll get well soon.
342198	這個裝置是用開關啟動的。	This device is actuated by a switch.
342202	直到今早我才知道了真相。	Not until this morning did I learn the truth.
342430	你關心政治嗎？	Are you concerned with politics?
342431	無論如何，我也盡了我的責任。	In any case, I did my duty.
342433	我們感覺到地面在搖晃。	We felt the ground trembling.
342434	我最關心的是你的安全。	My primary concern is your safety.
342680	數年過去了。	Several years went by.
342681	我們在中午吃了飯。	We took lunch at noon.
342682	那艘飛船真大啊。	How huge that airship is!
342684	基本上我贊同你的意見。	Basically, I agree with your opinion.
342686	生啤酒在大熱天時特別好喝。	Draft beer tastes especially good on a hot day.
342689	他被數字征服了。	He was overcome by numbers.
342691	停雨時我無論如何都會出外。	At any rate I will go out when it stops raining.
342692	大概會花多少時間？	About how long will it take?
342693	電話響起時我正在吃午飯。	I was eating lunch when the phone rang.
342694	她以為所有人都會贊成計劃。	She assumed that everyone would be for the plan.
342696	我想做醫生。	I want to be a doctor.
342697	我認為沒有必要游說他。	I don't see any point in persuading him.
342698	雪已經開始溶了。	Snow has begun to melt.
342700	你有英語詞典嗎？	Do you have an English dictionary?
342703	他一直說個不停。	He kept talking.
342709	我要改變我的飲食嗎？	Do I have to change my diet?
342711	繡球在六月開花。	The hydrangea blooms in June.
342712	他仍是個商業新手。	He is still green in business.
342713	男人跟隨了他。	The men followed him.
342714	不遵守承諾是可恥的。	It is a shame not to keep your promise.
342716	我贊成你的計劃。	I approve of your plan.
342719	那個男孩說起話來像個大人。	That boy talks as if he were a grown up.
342721	你昨天為甚麼缺席？	Why were you absent yesterday?
342735	這本書是你的嗎？	Does this book belong to you?
342740	我無法說明兩者之間的差別。	I can't explain the difference between the two.
342742	他上星期去了美國。	He went to America last week.
342746	美國的小孩聽著這些話長大。	American children grow up hearing those words.
342759	你母親在家嗎？	Is your mother at home?
342766	一場春雨使花朵回復了生氣。	A spring rain revived the flower.
342829	你怎么可能会说这种语言？	How come you're able to speak this language?
342835	不要碰伤口。	Don't touch the wound.
342838	我忘记在信封上贴邮票了。	I forgot to attach a stamp to the envelope.
342840	富士山是日本最高的山。	Mt. Fuji is the highest mountain in Japan.
342842	我有一辆车。	I have a car.
342846	好好看这张照片。	Have a good look at this picture.
342850	我必须更新我的护照。	I must renew my passport.
342851	我今天要准备晚饭。	I have to cook dinner today.
342854	由美一個人去了那裏。	Yumi went there by herself.
342855	請稍候。	Please wait.
342857	我很高興見到你。	I'm very glad to see you.
342858	這是本值得一看的書。	This is a book to read.
342859	我無法忍受這噪音。	I can't put up with the noise.
343101	她在中午打了電話給我。	She called me in the afternoon.
343102	我會試試看。	I will give it a try.
343103	這個計劃必須保持秘密。	This plan requires secrecy.
343106	我們休息一下吧，好嗎？	Let's break off, shall we?
343113	熱是一種能量。	Heat is a form of energy.
343117	首先我們必須處理這個問題。	To begin with, we must tackle the problem.
343119	她一見到我就馬上跑了過來。	No sooner had she caught sight of me than she started running in my direction.
343124	你走得這麼快，我跟不上呀。	I can't keep up with you if you walk so fast.
343135	他是醫生嗎？	Is he a doctor?
343146	很多車經過了。	Many cars passed by.
343153	這些書都是我的。	All these books are mine.
343156	請不要再想這事了。	Please think no more about it.
343161	她單獨一人在公寓裏住。	She lives in an apartment alone.
343162	只有你才做得到。	You're the only one who can do it.
343165	天氣很快就會回暖吧。	It will get warmer soon.
343206	我相信這條魚是淡水魚。	I believe this fish is a freshwater fish.
343210	架上放著一本相簿。	There is an album on the shelf.
343216	他是有錢人家的兒子。	He is the son of a wealthy family.
343227	花子決心要去巴黎。	Hanako is set on going to Paris.
343229	你该剪头发了。	You should get your hair cut.
343231	他有个大家庭。	He has a big family.
343233	他拒绝跟我握手。	He refused to shake hands with me.
343242	他告訴了我他要去美國。	He told me he was going to America.
343257	山上發現了不少猴子。	Not a few monkeys were found in the mountain.
343263	请您摘下您的帽子。	Please take off your hat.
343266	我明天要去购物。	I'll go shopping tomorrow.
343269	只是感冒而已。	It's just a cold.
343271	她成为了邮递员。	She has become a postwoman.
343273	她深爱着她的儿子。	She loves her son deeply.
343277	他对此很期待。	He is really looking forward to it.
343282	他全速驾驶着。	He is driving at top speed.
343292	他的故事就是简单。	His story was pretty simple.
343294	鐵和氧都是化學元素。	Iron and oxygen are elements.
343304	我排尿有问题。	I have a problem urinating.
343312	爸爸，你在干吗？	What are you doing, Dad?
343313	男人的臉像小孩般紅了起來。	The man blushed like a boy.
343315	我们可以在大楼里拍照吗？	Is it all right to take pictures in this building?
343316	是的，他幾乎和我一樣高。	Yes, he's almost as tall as I am.
343324	岸边开满了鲜花。	Blossoms have come out on the embankment.
343325	这个瓶子可以装两升热水。	This bottle is able to contain two liters of hot water.
343329	每个机场都有英文指示。	Information is given in English at every airport.
343351	我想要这部电话。	I want this phone.
343353	他不是医生，他是教师。	He is not a doctor but a teacher.
343355	昨晚他希望他去了剧场。	He wishes he had gone to the theater last night.
343356	你可以随便用我的车。	My car is at your disposal.
343360	他从中国回来了。	He came back from China.
343364	日本的石油依靠进口。	Japan depends on other countries for oil.
343367	我喜欢你走路的方式。	I like the way you walk.
343369	我爸爸吸烟很厉害。	My father is a heavy smoker.
343370	他出生在非洲。	He was born in Africa.
343373	众口难调。	It is difficult to satisfy everyone.
343377	他昨晚睡得很好。	He slept well last night.
343380	有什么不对吗？	Is something wrong?
343382	我忽然想起了我死去的妈妈。	I suddenly thought of my dead mother.
343386	几乎没人相信她。	Almost no one believes her.
343387	很多人认识他。	Very many people know him.
343391	你为什么哭？	Why are you crying?
343409	这个地方的气氛很神秘。	This place has a mysterious atmosphere to it.
343414	他一个人住在那儿。	He lives there alone.
343416	今天早上他收到好多信。	He received a good many letters this morning.
343424	我喜欢您的车。	I like your car.
343425	她穿着一条很难看的裙子。	She was wearing an ugly dress.
343427	问他会不会来参加会议。	Ask him if he will attend the meeting.
343433	她英语成绩很好。	Her grade in English was very good.
343443	请开到希尔顿酒店。	The Hilton Hotel, please.
343450	日本米市场禁止进口。	Japan's rice market is closed to imports.
